"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_i"
2499,40.1,40.1,59.9,"Stüsslingen SO","Stüsslingen (SO)","Stüsslingen SO","No all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Stüsslingen: i cittadini hanno bocciato il testo con il 59,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 25,3 percento dei voti. A Stüsslingen come nel 2017 gli elettroi hanno detto no - con il 67 percento dei voti – alla riforma dell'AVS."
2500,30.9,30.9,69.1,"Trimbach SO","Trimbach (SO)","Trimbach SO","Da Trimbach è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 69,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 21 percento dei voti. A Trimbach come nel 2017 gli elettroi hanno detto no - con il 52,3 percento dei voti – alla riforma dell'AVS."
2501,58.4,58.4,41.6,"Winznau SO","Winznau (SO)","Winznau SO","Nel comune di Winznau l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 58,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 46,7 percento dei voti. A Winznau come nel 2017 gli elettroi hanno detto no - con il 55,9 percento dei voti – alla riforma dell'AVS."
2502,47.6,47.6,52.4,"Wisen SO","Wisen (SO)","Wisen SO","I cittadini di Wisen SO si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 52,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 35 percento dei voti. A Wisen SO come nel 2017 gli elettroi hanno detto no - con il 51,2 percento dei voti – alla riforma dell'AVS."
2503,76.9,76.9,23.1,"Erlinsbach SO","Erlinsbach (SO)","Erlinsbach SO","I cittadini di Erlinsbach SO si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 76,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 5,7 percento dei voti. A Erlinsbach SO come nel 2017 gli elettroi hanno detto no - con il 55,9 percento dei voti – alla riforma dell'AVS."
2511,36.1,36.1,63.9,"Aeschi SO","Aeschi (SO)","Aeschi SO","No all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Aeschi SO: i cittadini hanno bocciato il testo con il 63,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 59,1 percento dei voti. A Aeschi SO come nel 2017 gli elettroi hanno detto no - con il 60,2 percento dei voti – alla riforma dell'AVS."
2513,37.3,37.3,62.7,"Biberist SO","Biberist (SO)","Biberist SO","Con il 62,7 percento di ""no"", i cittadini del comune di Biberist hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. La seconda proposta concernente l'AVS è stata invece accettata con il 83,2 percento dei voti. A Biberist come nel 2017 gli elettroi hanno detto no - con il 56,1 percento dei voti – alla riforma dell'AVS."
2514,34.3,34.3,65.7,"Bolken SO","Bolken (SO)","Bolken SO","Nel comune di Bolken l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 65,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 51,2 percento dei voti."
2516,76.1,76.1,23.9,"Deitingen SO","Deitingen (SO)","Deitingen SO","Da Deitingen è arrivato un ""sì"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno accolto il testo con il 76,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 94,9 percento dei voti. Deitingen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2517,51.8,51.8,48.2,"Derendingen SO","Derendingen (SO)","Derendingen SO","Da Derendingen è arrivato un ""sì"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno accolto il testo con il 51,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 49 percento dei voti. A Derendingen come nel 2017 gli elettroi hanno detto no - con il 57,9 percento dei voti – alla riforma dell'AVS."
2518,56.8,56.8,43.2,"Etziken SO","Etziken (SO)","Etziken SO","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Etziken: i cittadini hanno approvato il testo con il 56,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 51 percento dei voti. Etziken ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2519,60.9,60.9,39.1,"Gerlafingen SO","Gerlafingen (SO)","Gerlafingen SO","Con il 60,9 percento di ""sì"", i cittadini del comune di Gerlafingen hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Anche la seconda proposta concernente l'AVS è stata accettata con il 74,2 percento dei voti. Gerlafingen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2520,59.3,59.3,40.7,"Halten SO","Halten (SO)","Halten SO","Nel comune di Halten l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 59,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 52,3 percento dei voti. Halten ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2523,76.4,76.4,23.6,"Horriwil SO","Horriwil (SO)","Horriwil SO","I cittadini di Horriwil si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 76,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 53,2 percento dei voti. Horriwil ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2524,64.9,64.9,35.1,"Hüniken SO","Hüniken (SO)","Hüniken SO","Nel comune di Hüniken l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 64,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 21,3 percento dei voti. A Hüniken come nel 2017 gli elettroi hanno detto no - con il 53,3 percento dei voti – alla riforma dell'AVS."
2525,4.5,4.5,95.5,"Kriegstetten SO","Kriegstetten (SO)","Kriegstetten SO","Nel comune di Kriegstetten l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato respinto con il 95,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 34,8 percento dei voti. A Kriegstetten come nel 2017 gli elettroi hanno detto no - con il 66,2 percento dei voti – alla riforma dell'AVS."
2526,68.9,68.9,31.1,"Lohn-Ammannsegg SO","Lohn-Ammannsegg (SO)","Lohn-Ammannsegg SO","Con il 68,9 percento di ""sì"", i cittadini del comune di Lohn-Ammannsegg hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece respinta con il 39,3 percento dei voti. A Lohn-Ammannsegg come nel 2017 gli elettroi hanno detto no - con il 55,3 percento dei voti – alla riforma dell'AVS."
2527,29.1,29.1,70.9,"Luterbach SO","Luterbach (SO)","Luterbach SO","Nel comune di Luterbach l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 70,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 49,6 percento dei voti. A Luterbach come nel 2017 gli elettroi hanno detto no - con il 60,7 percento dei voti – alla riforma dell'AVS."
2528,8.7,8.7,91.3,"Obergerlafingen SO","Obergerlafingen (SO)","Obergerlafingen SO","I cittadini di Obergerlafingen si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 91,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 98,7 percento dei voti. A Obergerlafingen come nel 2017 gli elettroi hanno detto no - con il 60,3 percento dei voti – alla riforma dell'AVS."
2529,42.7,42.7,57.3,"Oekingen SO","Oekingen (SO)","Oekingen SO","Con il 57,3 percento di ""no"", i cittadini del comune di Oekingen hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata respinta con il 9,9 percento dei voti. A Oekingen come nel 2017 gli elettroi hanno detto no - con il 62,5 percento dei voti – alla riforma dell'AVS."
2530,4.4,4.4,95.6,"Recherswil SO","Recherswil (SO)","Recherswil SO","Nel comune di Recherswil l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato respinto con il 95,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 39,2 percento dei voti. A Recherswil come nel 2017 gli elettroi hanno detto no - con il 61,8 percento dei voti – alla riforma dell'AVS."
2532,29.4,29.4,70.6,"Subingen SO","Subingen (SO)","Subingen SO","I cittadini di Subingen si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 70,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 63,2 percento dei voti. A Subingen come nel 2017 gli elettroi hanno detto no - con il 61,3 percento dei voti – alla riforma dell'AVS."
2534,34.8,34.8,65.2,"Zuchwil SO","Zuchwil (SO)","Zuchwil SO","Con il 65,2 percento di ""no"", i cittadini del comune di Zuchwil hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata respinta con il 43,3 percento dei voti. A Zuchwil come nel 2017 gli elettroi hanno detto no - con il 51,9 percento dei voti – alla riforma dell'AVS."
2535,44.1,44.1,55.9,"Drei Höfe SO","Drei Höfe (SO)","Drei Höfe SO","No all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Drei Höfe: i cittadini hanno bocciato il testo con il 55,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 94,2 percento dei voti. A Drei Höfe come nel 2017 gli elettroi hanno detto no - con il 53,5 percento dei voti – alla riforma dell'AVS."
2541,38.7,38.7,61.3,"Balm bei Günsberg SO","Balm bei Günsberg (SO)","Balm bei Günsberg SO","Nel comune di Balm bei Günsberg l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 61,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 97,1 percento dei voti. A Balm bei Günsberg come nel 2017 gli elettroi hanno detto no - con il 57 percento dei voti – alla riforma dell'AVS."
2542,95,95,5,"Bellach SO","Bellach (SO)","Bellach SO","A Bellach i cittadini hanno accolto, con il 95 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. La seconda proposta concernente l'AVS è stata invece respinta con il 30,5 percento dei voti. A Bellach come nel 2017 gli elettroi hanno detto no - con il 60,7 percento dei voti – alla riforma dell'AVS."
2543,22.2,22.2,77.8,"Bettlach SO","Bettlach (SO)","Bettlach SO","Da Bettlach è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 77,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 75 percento dei voti. A Bettlach come nel 2017 gli elettroi hanno detto no - con il 66,7 percento dei voti – alla riforma dell'AVS."
2544,5.2,5.2,94.8,"Feldbrunnen-St. Niklaus SO","Feldbrunnen-St. Niklaus (SO)","Feldbrunnen-St. Niklaus SO","Nel comune di Feldbrunnen-St. Niklaus l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 94,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 48,6 percento dei voti. A Feldbrunnen-St. Niklaus come nel 2017 gli elettroi hanno detto no - con il 61,1 percento dei voti – alla riforma dell'AVS."
2545,55.3,55.3,44.7,"Flumenthal SO","Flumenthal (SO)","Flumenthal SO","Da Flumenthal è arrivato un ""sì"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno accolto il testo con il 55,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 76,8 percento dei voti. Flumenthal ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2546,69,69,31,"Grenchen SO","Granges (SO)","Grenchen SO","Nel comune di Grenchen l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 69 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 66,8 percento dei voti. Grenchen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2547,39.8,39.8,60.2,"Günsberg SO","Günsberg (SO)","Günsberg SO","Nel comune di Günsberg l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 60,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 5,8 percento dei voti. A Günsberg come nel 2017 gli elettroi hanno detto no - con il 67,5 percento dei voti – alla riforma dell'AVS."
2548,29,29,71,"Hubersdorf SO","Hubersdorf (SO)","Hubersdorf SO","I cittadini di Hubersdorf si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 71 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 56,4 percento dei voti. A Hubersdorf come nel 2017 gli elettroi hanno detto no - con il 53,2 percento dei voti – alla riforma dell'AVS."
2549,79,79,21,"Kammersrohr SO","Kammersrohr (SO)","Kammersrohr SO","A Kammersrohr i cittadini hanno accolto, con il 79 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. La seconda proposta concernente l'AVS è stata invece respinta con il 33,8 percento dei voti. A Kammersrohr come nel 2017 gli elettroi hanno detto no - con il 70,6 percento dei voti – alla riforma dell'AVS."
2550,1.1,1.1,98.9,"Langendorf SO","Langendorf (SO)","Langendorf SO","No all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Langendorf: i cittadini hanno bocciato il testo con il 98,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 62 percento dei voti. A Langendorf come nel 2017 gli elettroi hanno detto no - con il 52,1 percento dei voti – alla riforma dell'AVS."
2551,69.5,69.5,30.5,"Lommiswil SO","Lommiswil (SO)","Lommiswil SO","Nel comune di Lommiswil l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 69,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 30,9 percento dei voti. A Lommiswil come nel 2017 gli elettroi hanno detto no - con il 58,1 percento dei voti – alla riforma dell'AVS."
2553,29,29,71,"Oberdorf SO","Oberdorf (SO)","Oberdorf SO","No all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Oberdorf SO: i cittadini hanno bocciato il testo con il 71 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 18 percento dei voti. Oberdorf SO ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
2554,62.7,62.7,37.3,"Riedholz SO","Riedholz (SO)","Riedholz SO","Con il 62,7 percento di ""sì"", i cittadini del comune di Riedholz hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece respinta con il 33,8 percento dei voti. A Riedholz come nel 2017 gli elettroi hanno detto no - con il 55,9 percento dei voti – alla riforma dell'AVS."
2555,76.8,76.8,23.2,"Rüttenen SO","Rüttenen (SO)","Rüttenen SO","Nel comune di Rüttenen l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 76,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 60,8 percento dei voti. A Rüttenen come nel 2017 gli elettori hanno detto sì - con il 50,2 percento dei voti – alla riforma dell'AVS."
2556,25.2,25.2,74.8,"Selzach SO","Selzach (SO)","Selzach SO","I cittadini di Selzach si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 74,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 35 percento dei voti. A Selzach come nel 2017 gli elettroi hanno detto no - con il 60,8 percento dei voti – alla riforma dell'AVS."
2571,60.2,60.2,39.8,"Boningen SO","Boningen (SO)","Boningen SO","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Boningen: i cittadini hanno approvato il testo con il 60,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 58,3 percento dei voti. Boningen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2572,53,53,47,"Däniken SO","Däniken (SO)","Däniken SO","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Däniken: i cittadini hanno approvato il testo con il 53 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 35,1 percento dei voti. A Däniken come nel 2017 gli elettroi hanno detto no - con il 69,9 percento dei voti – alla riforma dell'AVS."
2573,78.5,78.5,21.5,"Dulliken SO","Dulliken (SO)","Dulliken SO","Nel comune di Dulliken l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 78,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 14,8 percento dei voti. A Dulliken come nel 2017 gli elettroi hanno detto no - con il 61,5 percento dei voti – alla riforma dell'AVS."
2574,48.5,48.5,51.5,"Eppenberg-Wöschnau SO","Eppenberg-Wöschnau (SO)","Eppenberg-Wöschnau SO","Da Eppenberg-Wöschnau è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 51,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 59,2 percento dei voti. A Eppenberg-Wöschnau come nel 2017 gli elettroi hanno detto no - con il 80,8 percento dei voti – alla riforma dell'AVS."
2575,32.3,32.3,67.7,"Fulenbach SO","Fulenbach (SO)","Fulenbach SO","Con il 67,7 percento di ""no"", i cittadini del comune di Fulenbach hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata respinta con il 40,8 percento dei voti. A Fulenbach come nel 2017 gli elettroi hanno detto no - con il 60,1 percento dei voti – alla riforma dell'AVS."
2576,25.5,25.5,74.5,"Gretzenbach SO","Gretzenbach (SO)","Gretzenbach SO","Da Gretzenbach è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 74,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 93,1 percento dei voti. A Gretzenbach come nel 2017 gli elettroi hanno detto no - con il 65,2 percento dei voti – alla riforma dell'AVS."
2578,48.6,48.6,51.4,"Gunzgen SO","Gunzgen (SO)","Gunzgen SO","A Gunzgen i cittadini hanno respinto, con il 51,4 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Anche la seconda proposta concernente l'AVS è stata respinta con il 34,5 percento dei voti. A Gunzgen come nel 2017 gli elettroi hanno detto no - con il 64,4 percento dei voti – alla riforma dell'AVS."
2579,4.8,4.8,95.2,"Hägendorf SO","Hägendorf (SO)","Hägendorf SO","I cittadini di Hägendorf si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 95,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 32,3 percento dei voti. A Hägendorf come nel 2017 gli elettroi hanno detto no - con il 61,3 percento dei voti – alla riforma dell'AVS."
2580,15.4,15.4,84.6,"Kappel SO","Kappel (SO)","Kappel SO","I cittadini di Kappel SO si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 84,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 46,4 percento dei voti. A Kappel SO come nel 2017 gli elettroi hanno detto no - con il 57,5 percento dei voti – alla riforma dell'AVS."
2581,4.1,4.1,95.9,"Olten SO","Olten (SO)","Olten SO","Nel comune di Olten l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 95,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 14,4 percento dei voti. Olten ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
2582,49.6,49.6,50.4,"Rickenbach SO","Rickenbach (SO)","Rickenbach SO","Da Rickenbach SO è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 50,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 64 percento dei voti. A Rickenbach SO come nel 2017 gli elettroi hanno detto no - con il 73 percento dei voti – alla riforma dell'AVS."
2583,59.3,59.3,40.7,"Schönenwerd SO","Schönenwerd (SO)","Schönenwerd SO","Nel comune di Schönenwerd l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 59,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 46,3 percento dei voti. A Schönenwerd come nel 2017 gli elettroi hanno detto no - con il 60,8 percento dei voti – alla riforma dell'AVS."
2584,68.9,68.9,31.1,"Starrkirch-Wil SO","Starrkirch-Wil (SO)","Starrkirch-Wil SO","Nel comune di Starrkirch-Wil l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 68,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 59 percento dei voti. A Starrkirch-Wil come nel 2017 gli elettori hanno detto sì - con il 53,9 percento dei voti – alla riforma dell'AVS."
2585,59.6,59.6,40.4,"Walterswil SO","Walterswil (SO)","Walterswil SO","Da Walterswil SO è arrivato un ""sì"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno accolto il testo con il 59,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 62,3 percento dei voti. Walterswil SO ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2586,69.3,69.3,30.7,"Wangen bei Olten SO","Wangen bei Olten (SO)","Wangen bei Olten SO","A Wangen bei Olten i cittadini hanno accolto, con il 69,3 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata accettata con il 92,2 percento dei voti. Wangen bei Olten ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2601,5.1,5.1,94.9,"Solothurn SO","Soleure (SO)","Soletta SO","Con il 94,9 percento di ""no"", i cittadini del comune di Soletta hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata respinta con il 45,1 percento dei voti. Soletta ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
2611,72.5,72.5,27.5,"Bärschwil SO","Bärschwil (SO)","Bärschwil SO","Nel comune di Bärschwil l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 72,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 76,8 percento dei voti. Bärschwil ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2612,58.2,58.2,41.8,"Beinwil SO","Beinwil (SO)","Beinwil SO","Con il 58,2 percento di ""sì"", i cittadini del comune di Beinwil SO hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Anche la seconda proposta concernente l'AVS è stata accettata con il 58,4 percento dei voti. Beinwil SO ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2613,10.8,10.8,89.2,"Breitenbach SO","Breitenbach (SO)","Breitenbach SO","I cittadini di Breitenbach si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 89,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 30 percento dei voti. A Breitenbach come nel 2017 gli elettroi hanno detto no - con il 60,3 percento dei voti – alla riforma dell'AVS."
2614,39.5,39.5,60.5,"Büsserach SO","Büsserach (SO)","Büsserach SO","I cittadini di Büsserach si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 60,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 3,9 percento dei voti. A Büsserach come nel 2017 gli elettroi hanno detto no - con il 66,5 percento dei voti – alla riforma dell'AVS."
2615,37.8,37.8,62.2,"Erschwil SO","Erschwil (SO)","Erschwil SO","A Erschwil i cittadini hanno respinto, con il 62,2 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Anche la seconda proposta concernente l'AVS è stata respinta con il 49,4 percento dei voti. A Erschwil come nel 2017 gli elettroi hanno detto no - con il 66,6 percento dei voti – alla riforma dell'AVS."
2616,60.2,60.2,39.8,"Fehren SO","Fehren (SO)","Fehren SO","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Fehren: i cittadini hanno approvato il testo con il 60,2 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 48 percento dei voti. A Fehren come nel 2017 gli elettroi hanno detto no - con il 69,9 percento dei voti – alla riforma dell'AVS."
2617,35.2,35.2,64.8,"Grindel SO","Grindel (SO)","Grindel SO","No all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Grindel: i cittadini hanno bocciato il testo con il 64,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 79,7 percento dei voti. A Grindel come nel 2017 gli elettroi hanno detto no - con il 69,8 percento dei voti – alla riforma dell'AVS."
2618,63.7,63.7,36.3,"Himmelried SO","Himmelried (SO)","Himmelried SO","Nel comune di Himmelried l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 63,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 5,4 percento dei voti. A Himmelried come nel 2017 gli elettroi hanno detto no - con il 58,7 percento dei voti – alla riforma dell'AVS."
2619,83.6,83.6,16.4,"Kleinlützel SO","Kleinlützel (SO)","Kleinlützel SO","Nel comune di Kleinlützel l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 83,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 39,4 percento dei voti. A Kleinlützel come nel 2017 gli elettroi hanno detto no - con il 60,6 percento dei voti – alla riforma dell'AVS."
2620,42.7,42.7,57.3,"Meltingen SO","Meltingen (SO)","Meltingen SO","I cittadini di Meltingen si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 57,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 33,5 percento dei voti. A Meltingen come nel 2017 gli elettroi hanno detto no - con il 65,1 percento dei voti – alla riforma dell'AVS."
2621,57.5,57.5,42.5,"Nunningen SO","Nunningen (SO)","Nunningen SO","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Nunningen: i cittadini hanno approvato il testo con il 57,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 39,7 percento dei voti. A Nunningen come nel 2017 gli elettroi hanno detto no - con il 61,9 percento dei voti – alla riforma dell'AVS."
2622,37.2,37.2,62.8,"Zullwil SO","Zullwil (SO)","Zullwil SO","Con il 62,8 percento di ""no"", i cittadini del comune di Zullwil hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata respinta con il 31,7 percento dei voti. A Zullwil come nel 2017 gli elettroi hanno detto no - con il 73,6 percento dei voti – alla riforma dell'AVS."
2701,68.3,68.3,31.7,"Basel BS","Bâle (BS)","Basilea BS","Nel comune di Basilea l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 68,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 89,6 percento dei voti. A Basilea come nel 2017 gli elettori hanno detto sì - con il 55 percento dei voti – alla riforma dell'AVS."
