"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d"
2406,74.9,74.9,25.1,"Oberbuchsiten SO","Oberbuchsiten (SO)","Oberbuchsiten SO","74,9 Prozent der Stimmbürgerinnen und Stimmbürger von Oberbuchsiten haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 58 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Oberbuchsiten damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberbuchsiten eine Rentenreform mit 56,8 Prozent Nein-Stimmen abgelehnt."
2407,46.5,46.5,53.5,"Oensingen SO","Oensingen (SO)","Oensingen SO","In Oensingen hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 53,5 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 95,9 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Oensingen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oensingen eine Rentenreform mit 65,6 Prozent Nein-Stimmen abgelehnt."
2408,73.8,73.8,26.2,"Wolfwil SO","Wolfwil (SO)","Wolfwil SO","Wolfwil hat der Erhöhung des Frauenrentenalters auf 65 mit 73,8 Prozent  zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 88,8 Prozent zugestimmt hat, ist die AHV-Reform in Wolfwil damit angenommen worden. Damit hat in Wolfwil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 64,3 Prozent ein Nein in die Urne gelegt."
2421,64.6,64.6,35.4,"Aedermannsdorf SO","Aedermannsdorf (SO)","Aedermannsdorf SO","In Aedermannsdorf hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 64,6 Prozent zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 92,9 Prozent zugestimmt hat, ist die AHV-Reform in Aedermannsdorf damit angenommen worden. Damit hat in Aedermannsdorf im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 56,9 Prozent ein Nein in die Urne gelegt."
2422,40.5,40.5,59.5,"Balsthal SO","Balsthal (SO)","Balsthal SO","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Balsthal: Mit 59,5 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 63,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Balsthal damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Balsthal eine Rentenreform mit 63,7 Prozent Nein-Stimmen abgelehnt."
2424,48,48,52,"Herbetswil SO","Herbetswil (SO)","Herbetswil SO","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Herbetswil: Mit 52 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 57,9 Prozent angenommen hat, ist die AHV-Reform in Herbetswil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Herbetswil eine Rentenreform mit 63,7 Prozent Nein-Stimmen abgelehnt."
2425,81.4,81.4,18.6,"Holderbank SO","Holderbank (SO)","Holderbank SO","Ja zur Erhöhung des Frauenrentenalters auf 65 in Holderbank SO mit 81,4 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 68,7 Prozent zugestimmt hat, ist die AHV-Reform in Holderbank SO damit angenommen worden. Damit hat in Holderbank SO im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 67 Prozent ein Nein in die Urne gelegt."
2426,33.4,33.4,66.6,"Laupersdorf SO","Laupersdorf (SO)","Laupersdorf SO","66,6 Prozent der Stimmbürgerinnen und Stimmbürger von Laupersdorf sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 80,3 Prozent angenommen hat, ist die AHV-Reform in Laupersdorf damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Laupersdorf eine Rentenreform mit 62,4 Prozent Nein-Stimmen abgelehnt."
2427,89.9,89.9,10.1,"Matzendorf SO","Matzendorf (SO)","Matzendorf SO","In Matzendorf hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 89,9 Prozent zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 62,1 Prozent zugestimmt hat, ist die AHV-Reform in Matzendorf damit angenommen worden. Damit hat in Matzendorf im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 68,6 Prozent ein Nein in die Urne gelegt."
2428,83.7,83.7,16.3,"Mümliswil-Ramiswil SO","Mümliswil-Ramiswil (SO)","Mümliswil-Ramiswil SO","Ja zur Erhöhung des Frauenrentenalters auf 65 in Mümliswil-Ramiswil mit 83,7 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 75,1 Prozent zugestimmt hat, ist die AHV-Reform in Mümliswil-Ramiswil damit angenommen worden. Damit hat in Mümliswil-Ramiswil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 65,8 Prozent ein Nein in die Urne gelegt."
2430,60.3,60.3,39.7,"Welschenrohr-Gänsbrunnen SO","Welschenrohr-Gänsbrunnen (SO)","Welschenrohr-Gänsbrunnen (SO)","60,3 Prozent der Abstimmenden in der Gemeinde Welschenrohr-Gänsbrunnen haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 57,5 Prozent zugestimmt hat, ist die AHV-Reform in Welschenrohr-Gänsbrunnen damit angenommen worden. Wegen der Veränderung der Gemeindestruktur ist ein Vergleich mit der letzten AHV-Abstimmung im Jahr 2017 in Welschenrohr-Gänsbrunnen nicht möglich."
2445,66.4,66.4,33.6,"Biezwil SO","Biezwil (SO)","Biezwil SO","Ja zur Erhöhung des Frauenrentenalters auf 65 in Biezwil mit 66,4 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 54,7 Prozent zugestimmt hat, ist die AHV-Reform in Biezwil damit angenommen worden. Damit hat in Biezwil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 64,6 Prozent ein Nein in die Urne gelegt."
2455,20.3,20.3,79.7,"Lüterkofen-Ichertswil SO","Lüterkofen-Ichertswil (SO)","Lüterkofen-Ichertswil SO","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Lüterkofen-Ichertswil: Mit 79,7 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 74,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Lüterkofen-Ichertswil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Lüterkofen-Ichertswil eine Rentenreform mit 59,7 Prozent Nein-Stimmen abgelehnt."
2456,48.3,48.3,51.7,"Lüterswil-Gächliwil SO","Lüterswil-Gächliwil (SO)","Lüterswil-Gächliwil SO","Nein zur Erhöhung des Frauenrentenalters auf 65 in Lüterswil-Gächliwil. Die Gemeinde hat das Volksbegehren mit 51,7 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 97,5 Prozent angenommen hat, ist die AHV-Reform in Lüterswil-Gächliwil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Lüterswil-Gächliwil eine Rentenreform mit 62,3 Prozent Nein-Stimmen abgelehnt."
2457,51.8,51.8,48.2,"Messen SO","Messen (SO)","Messen SO","51,8 Prozent der Abstimmenden in der Gemeinde Messen haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 61,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Messen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Messen eine Rentenreform mit 62,2 Prozent Nein-Stimmen abgelehnt."
2461,66.3,66.3,33.7,"Schnottwil SO","Schnottwil (SO)","Schnottwil SO","66,3 Prozent in Schnottwil sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 90,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Schnottwil damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Schnottwil eine Rentenreform mit 62,8 Prozent Nein-Stimmen abgelehnt."
2463,36.6,36.6,63.4,"Unterramsern SO","Unterramsern (SO)","Unterramsern SO","63,4 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Unterramsern. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 98,3 Prozent angenommen hat, ist die AHV-Reform in Unterramsern damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Unterramsern eine Rentenreform mit 65,1 Prozent Nein-Stimmen abgelehnt."
2464,44.8,44.8,55.2,"Lüsslingen-Nennigkofen SO","Lüsslingen-Nennigkofen (SO)","Lüsslingen-Nennigkofen SO","In Lüsslingen-Nennigkofen hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 55,2 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 51 Prozent angenommen hat, ist die AHV-Reform in Lüsslingen-Nennigkofen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Lüsslingen-Nennigkofen eine Rentenreform mit 57,3 Prozent Nein-Stimmen abgelehnt."
2465,43.2,43.2,56.8,"Buchegg SO","Buchegg (SO)","Buchegg SO","56,8 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Buchegg. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 51,6 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Buchegg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Buchegg eine Rentenreform mit 61,1 Prozent Nein-Stimmen abgelehnt."
2471,38.9,38.9,61.1,"Bättwil SO","Bättwil (SO)","Bättwil SO","In Bättwil hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 61,1 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 64,3 Prozent angenommen hat, ist die AHV-Reform in Bättwil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bättwil eine Rentenreform mit 53 Prozent Nein-Stimmen abgelehnt."
2472,40.2,40.2,59.8,"Büren SO","Büren (SO)","Büren SO","In Büren SO hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 59,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 51 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Büren SO damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Büren SO eine Rentenreform mit 63,9 Prozent Nein-Stimmen abgelehnt."
2473,72.4,72.4,27.6,"Dornach SO","Dornach (SO)","Dornach SO","72,4 Prozent in Dornach sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 83,4 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Dornach damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dornach eine Rentenreform mit 50,8 Prozent Nein-Stimmen abgelehnt."
2474,85.1,85.1,14.9,"Gempen SO","Gempen (SO)","Gempen SO","85,1 Prozent der Abstimmenden in der Gemeinde Gempen haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 84,5 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Gempen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Gempen eine Rentenreform mit 57,3 Prozent Nein-Stimmen abgelehnt."
2475,63.1,63.1,36.9,"Hochwald SO","Hochwald (SO)","Hochwald SO","63,1 Prozent in Hochwald sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 64 Prozent zugestimmt hat, ist die AHV-Reform in Hochwald damit angenommen worden. Damit hat in Hochwald im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 56,1 Prozent ein Nein in die Urne gelegt."
2476,65.5,65.5,34.5,"Hofstetten-Flüh SO","Hofstetten-Flüh (SO)","Hofstetten-Flüh SO","Hofstetten-Flüh hat der Erhöhung des Frauenrentenalters auf 65 mit 65,5 Prozent  zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 52,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Hofstetten-Flüh damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Hofstetten-Flüh eine Rentenreform mit 56,9 Prozent Nein-Stimmen abgelehnt."
2477,16,16,84,"Metzerlen-Mariastein SO","Metzerlen-Mariastein (SO)","Metzerlen-Mariastein SO","In Metzerlen-Mariastein hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 84 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 76,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Metzerlen-Mariastein damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Metzerlen-Mariastein eine Rentenreform mit 56,1 Prozent Nein-Stimmen abgelehnt."
2478,89.8,89.8,10.2,"Nuglar-St. Pantaleon SO","Nuglar-St. Pantaleon (SO)","Nuglar-St. Pantaleon SO","Ja zur Erhöhung des Frauenrentenalters auf 65 in Nuglar-St. Pantaleon mit 89,8 Prozent. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 73,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Nuglar-St. Pantaleon damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Nuglar-St. Pantaleon eine Rentenreform mit 59,1 Prozent Nein-Stimmen abgelehnt."
2479,90.9,90.9,9.1,"Rodersdorf SO","Rodersdorf (SO)","Rodersdorf SO","90,9 Prozent in Rodersdorf sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 66,9 Prozent zugestimmt hat, ist die AHV-Reform in Rodersdorf damit angenommen worden. Damit hat in Rodersdorf im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,3 Prozent ein Nein in die Urne gelegt."
2480,27.3,27.3,72.7,"Seewen SO","Seewen (SO)","Seewen SO","In Seewen hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 72,7 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 69,1 Prozent angenommen hat, ist die AHV-Reform in Seewen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Seewen eine Rentenreform mit 63,3 Prozent Nein-Stimmen abgelehnt."
2481,13,13,87,"Witterswil SO","Witterswil (SO)","Witterswil SO","In Witterswil hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 87 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 76,3 Prozent angenommen hat, ist die AHV-Reform in Witterswil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Witterswil eine Rentenreform mit 55,2 Prozent Nein-Stimmen abgelehnt."
2491,69.1,69.1,30.9,"Hauenstein-Ifenthal SO","Hauenstein-Ifenthal (SO)","Hauenstein-Ifenthal SO","Ja zur Erhöhung des Frauenrentenalters auf 65 in Hauenstein-Ifenthal mit 69,1 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 50,2 Prozent zugestimmt hat, ist die AHV-Reform in Hauenstein-Ifenthal damit angenommen worden."
2492,31.3,31.3,68.7,"Kienberg SO","Kienberg (SO)","Kienberg SO","In Kienberg hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 68,7 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 77,6 Prozent angenommen hat, ist die AHV-Reform in Kienberg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Kienberg eine Rentenreform mit 61,4 Prozent Nein-Stimmen abgelehnt."
2493,46.6,46.6,53.4,"Lostorf SO","Lostorf (SO)","Lostorf SO","53,4 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Lostorf. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 56,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Lostorf damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Lostorf eine Rentenreform mit 61,6 Prozent Nein-Stimmen abgelehnt."
2495,75.1,75.1,24.9,"Niedergösgen SO","Niedergösgen (SO)","Niedergösgen SO","Ja zur Erhöhung des Frauenrentenalters auf 65 in Niedergösgen mit 75,1 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 52,2 Prozent zugestimmt hat, ist die AHV-Reform in Niedergösgen damit angenommen worden. Damit hat in Niedergösgen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 67,6 Prozent ein Nein in die Urne gelegt."
2497,89.8,89.8,10.2,"Obergösgen SO","Obergösgen (SO)","Obergösgen SO","Die Gemeinde Obergösgen hat die Erhöhung des Frauenrentenalters auf 65 mit 89,8 Prozent angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 59 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Obergösgen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Obergösgen eine Rentenreform mit 60,6 Prozent Nein-Stimmen abgelehnt."
2499,64.6,64.6,35.4,"Stüsslingen SO","Stüsslingen (SO)","Stüsslingen SO","Ja zur Erhöhung des Frauenrentenalters auf 65 in Stüsslingen mit 64,6 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 56,7 Prozent zugestimmt hat, ist die AHV-Reform in Stüsslingen damit angenommen worden. Damit hat in Stüsslingen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 67 Prozent ein Nein in die Urne gelegt."
2500,55.6,55.6,44.4,"Trimbach SO","Trimbach (SO)","Trimbach SO","55,6 Prozent in Trimbach sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 50,7 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Trimbach damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Trimbach eine Rentenreform mit 52,3 Prozent Nein-Stimmen abgelehnt."
2501,75.7,75.7,24.3,"Winznau SO","Winznau (SO)","Winznau SO","Winznau hat der Erhöhung des Frauenrentenalters auf 65 mit 75,7 Prozent  zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 98,4 Prozent zugestimmt hat, ist die AHV-Reform in Winznau damit angenommen worden. Damit hat in Winznau im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,9 Prozent ein Nein in die Urne gelegt."
2502,61.4,61.4,38.6,"Wisen SO","Wisen (SO)","Wisen SO","In Wisen SO hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 61,4 Prozent zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 94,6 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Wisen SO damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wisen SO eine Rentenreform mit 51,2 Prozent Nein-Stimmen abgelehnt."
2503,51.8,51.8,48.2,"Erlinsbach SO","Erlinsbach (SO)","Erlinsbach SO","In Erlinsbach SO hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 51,8 Prozent zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 58,6 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Erlinsbach SO damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Erlinsbach SO eine Rentenreform mit 55,9 Prozent Nein-Stimmen abgelehnt."
2511,50.9,50.9,49.1,"Aeschi SO","Aeschi (SO)","Aeschi SO","Ja zur Erhöhung des Frauenrentenalters auf 65 in Aeschi SO mit 50,9 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 84,8 Prozent zugestimmt hat, ist die AHV-Reform in Aeschi SO damit angenommen worden. Damit hat in Aeschi SO im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 60,2 Prozent ein Nein in die Urne gelegt."
2513,40.8,40.8,59.2,"Biberist SO","Biberist (SO)","Biberist SO","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Biberist: Mit 59,2 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 69,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Biberist damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Biberist eine Rentenreform mit 56,1 Prozent Nein-Stimmen abgelehnt."
2514,66.1,66.1,33.9,"Bolken SO","Bolken (SO)","Bolken SO","Bolken hat der Erhöhung des Frauenrentenalters auf 65 mit 66,1 Prozent  zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 63,4 Prozent zugestimmt hat, ist die AHV-Reform in Bolken damit angenommen worden."
2516,74.6,74.6,25.4,"Deitingen SO","Deitingen (SO)","Deitingen SO","74,6 Prozent in Deitingen sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 60,6 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Deitingen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Deitingen eine Rentenreform mit 54,6 Prozent Nein-Stimmen abgelehnt."
2517,45.9,45.9,54.1,"Derendingen SO","Derendingen (SO)","Derendingen SO","Derendingen hat die Erhöhung des Frauenrentenalters auf 65 mit 54,1 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 86,7 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Derendingen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Derendingen eine Rentenreform mit 57,9 Prozent Nein-Stimmen abgelehnt."
2518,77.3,77.3,22.7,"Etziken SO","Etziken (SO)","Etziken SO","Ja zur Erhöhung des Frauenrentenalters auf 65 in Etziken mit 77,3 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 51,4 Prozent zugestimmt hat, ist die AHV-Reform in Etziken damit angenommen worden. Damit hat in Etziken im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,7 Prozent ein Nein in die Urne gelegt."
2519,45.4,45.4,54.6,"Gerlafingen SO","Gerlafingen (SO)","Gerlafingen SO","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Gerlafingen: Mit 54,6 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 54,4 Prozent angenommen hat, ist die AHV-Reform in Gerlafingen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Gerlafingen eine Rentenreform mit 58,8 Prozent Nein-Stimmen abgelehnt."
2520,98.1,98.1,1.9,"Halten SO","Halten (SO)","Halten SO","Die Gemeinde Halten hat die Erhöhung des Frauenrentenalters auf 65 mit 98,1 Prozent angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 51,9 Prozent zugestimmt hat, ist die AHV-Reform in Halten damit angenommen worden. Damit hat in Halten im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 56,5 Prozent ein Nein in die Urne gelegt."
2523,71.7,71.7,28.3,"Horriwil SO","Horriwil (SO)","Horriwil SO","In Horriwil hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 71,7 Prozent zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 59,6 Prozent zugestimmt hat, ist die AHV-Reform in Horriwil damit angenommen worden. Damit hat in Horriwil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 59,5 Prozent ein Nein in die Urne gelegt."
2524,46.4,46.4,53.6,"Hüniken SO","Hüniken (SO)","Hüniken SO","Nein zur Erhöhung des Frauenrentenalters auf 65 in Hüniken. Die Gemeinde hat das Volksbegehren mit 53,6 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 54,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Hüniken damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Hüniken eine Rentenreform mit 53,3 Prozent Nein-Stimmen abgelehnt."
2525,91.9,91.9,8.1,"Kriegstetten SO","Kriegstetten (SO)","Kriegstetten SO","Die Gemeinde Kriegstetten hat die Erhöhung des Frauenrentenalters auf 65 mit 91,9 Prozent angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 58,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Kriegstetten damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Kriegstetten eine Rentenreform mit 66,2 Prozent Nein-Stimmen abgelehnt."
2526,78.2,78.2,21.8,"Lohn-Ammannsegg SO","Lohn-Ammannsegg (SO)","Lohn-Ammannsegg SO","78,2 Prozent der Abstimmenden in der Gemeinde Lohn-Ammannsegg haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 50,3 Prozent zugestimmt hat, ist die AHV-Reform in Lohn-Ammannsegg damit angenommen worden. Damit hat in Lohn-Ammannsegg im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,3 Prozent ein Nein in die Urne gelegt."
