"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_i"
2703,54.8,54.8,45.2,"Riehen BS","Riehen (BS)","Riehen BS","Nel comune di Riehen l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 54,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 35,1 percento dei voti. A Riehen come nel 2017 gli elettroi hanno detto no - con il 50,8 percento dei voti – alla riforma dell'AVS."
2761,46.5,46.5,53.5,"Aesch BL","Aesch (BL)","Aesch BL","Da Aesch BL è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 53,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 17,4 percento dei voti. A Aesch BL come nel 2017 gli elettroi hanno detto no - con il 56,6 percento dei voti – alla riforma dell'AVS."
2762,96.5,96.5,3.5,"Allschwil BL","Allschwil (BL)","Allschwil BL","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Allschwil: i cittadini hanno approvato il testo con il 96,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 84 percento dei voti. Allschwil ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2763,31.9,31.9,68.1,"Arlesheim BL","Arlesheim (BL)","Arlesheim BL","Nel comune di Arlesheim l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 68,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 60,5 percento dei voti. Arlesheim ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
2764,92.6,92.6,7.4,"Biel-Benken BL","Biel-Benken (BL)","Biel-Benken BL","A Biel-Benken i cittadini hanno accolto, con il 92,6 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 67,5 percento dei voti. Biel-Benken ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2765,12.1,12.1,87.9,"Binningen BL","Binningen (BL)","Binningen BL","Nel comune di Binningen l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 87,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 1,6 percento dei voti. A Binningen come nel 2017 gli elettroi hanno detto no - con il 54,2 percento dei voti – alla riforma dell'AVS."
2766,41.6,41.6,58.4,"Birsfelden BL","Birsfelden (BL)","Birsfelden BL","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Birsfelden: i cittadini hanno bocciato il testo con il 58,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 55,8 percento dei voti. A Birsfelden come nel 2017 gli elettroi hanno detto no - con il 51,9 percento dei voti – alla riforma dell'AVS."
2767,96.1,96.1,3.9,"Bottmingen BL","Bottmingen (BL)","Bottmingen BL","I cittadini di Bottmingen si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 96,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 18,5 percento dei voti. A Bottmingen come nel 2017 gli elettroi hanno detto no - con il 54 percento dei voti – alla riforma dell'AVS."
2768,90.3,90.3,9.7,"Ettingen BL","Ettingen (BL)","Ettingen BL","I cittadini di Ettingen si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 90,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 50,1 percento dei voti. Ettingen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2769,18.3,18.3,81.7,"Münchenstein BL","Münchenstein (BL)","Münchenstein BL","Nel comune di Münchenstein l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 81,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 79,3 percento dei voti. A Münchenstein come nel 2017 gli elettroi hanno detto no - con il 50,2 percento dei voti – alla riforma dell'AVS."
2770,45.8,45.8,54.2,"Muttenz BL","Muttenz (BL)","Muttenz BL","A Muttenz i cittadini hanno respinto, con il 54,2 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 33,8 percento dei voti. A Muttenz come nel 2017 gli elettroi hanno detto no - con il 51,2 percento dei voti – alla riforma dell'AVS."
2771,85,85,15,"Oberwil BL","Oberwil (BL)","Oberwil BL","I cittadini di Oberwil BL si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 85 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 27,5 percento dei voti. A Oberwil BL come nel 2017 gli elettroi hanno detto no - con il 53,8 percento dei voti – alla riforma dell'AVS."
2772,41.1,41.1,58.9,"Pfeffingen BL","Pfeffingen (BL)","Pfeffingen BL","Con il 58,9 percento di ""no"", i cittadini del comune di Pfeffingen hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 19,8 percento dei voti. A Pfeffingen come nel 2017 gli elettroi hanno detto no - con il 57,6 percento dei voti – alla riforma dell'AVS."
2773,79.3,79.3,20.7,"Reinach BL","Reinach (BL)","Reinach BL","Nel comune di Reinach BL l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 79,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 46,9 percento dei voti. A Reinach BL come nel 2017 gli elettroi hanno detto no - con il 56,1 percento dei voti – alla riforma dell'AVS."
2774,30.9,30.9,69.1,"Schönenbuch BL","Schönenbuch (BL)","Schönenbuch BL","I cittadini di Schönenbuch si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 69,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 55,4 percento dei voti. A Schönenbuch come nel 2017 gli elettroi hanno detto no - con il 54,1 percento dei voti – alla riforma dell'AVS."
2775,86.3,86.3,13.7,"Therwil BL","Therwil (BL)","Therwil BL","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Therwil: i cittadini hanno approvato il testo con il 86,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 87,6 percento dei voti. Therwil ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2781,26.8,26.8,73.2,"Blauen BL","Blauen (BL)","Blauen BL","Nel comune di Blauen l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 73,2 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 60,3 percento dei voti. A Blauen come nel 2017 gli elettroi hanno detto no - con il 56,3 percento dei voti – alla riforma dell'AVS."
2782,49.6,49.6,50.4,"Brislach BL","Brislach (BL)","Brislach BL","Con il 50,4 percento di ""no"", i cittadini del comune di Brislach hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 34,2 percento dei voti. A Brislach come nel 2017 gli elettroi hanno detto no - con il 68,7 percento dei voti – alla riforma dell'AVS."
2783,57.7,57.7,42.3,"Burg im Leimental BL","Burg im Leimental (BL)","Burg im Leimental BL","Nel comune di Burg im Leimental l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 57,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 28,5 percento dei voti. A Burg im Leimental come nel 2017 gli elettroi hanno detto no - con il 64,8 percento dei voti – alla riforma dell'AVS."
2784,59.4,59.4,40.6,"Dittingen BL","Dittingen (BL)","Dittingen BL","I cittadini di Dittingen si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 59,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 33 percento dei voti. Dittingen ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
2785,99.1,99.1,0.9,"Duggingen BL","Duggingen (BL)","Duggingen BL","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Duggingen: i cittadini hanno approvato il testo con il 99,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 49,3 percento dei voti. A Duggingen come nel 2017 gli elettroi hanno detto no - con il 59,1 percento dei voti – alla riforma dell'AVS."
2786,32.4,32.4,67.6,"Grellingen BL","Grellingen (BL)","Grellingen BL","Con il 67,6 percento di ""no"", i cittadini del comune di Grellingen hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 60,3 percento dei voti. A Grellingen come nel 2017 gli elettroi hanno detto no - con il 56,2 percento dei voti – alla riforma dell'AVS."
2787,50,50,50,"Laufen BL","Laufon (BL)","Laufen BL","I cittadini di Laufen si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 50 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 69,2 percento dei voti. Laufen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2788,9.5,9.5,90.5,"Liesberg BL","Liesberg (BL)","Liesberg BL","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Liesberg: i cittadini hanno bocciato il testo con il 90,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 97,7 percento dei voti. A Liesberg come nel 2017 gli elettroi hanno detto no - con il 60,1 percento dei voti – alla riforma dell'AVS."
2789,69,69,31,"Nenzlingen BL","Nenzlingen (BL)","Nenzlingen BL","Nel comune di Nenzlingen l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 69 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 53,5 percento dei voti. Nenzlingen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2790,16.8,16.8,83.2,"Roggenburg BL","Roggenburg (BL)","Roggenburg BL","Con il 83,2 percento di ""no"", i cittadini del comune di Roggenburg hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 22,3 percento dei voti. A Roggenburg come nel 2017 gli elettroi hanno detto no - con il 72,1 percento dei voti – alla riforma dell'AVS."
2791,56.5,56.5,43.5,"Röschenz BL","Röschenz (BL)","Röschenz BL","Da Röschenz è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 56,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 67,5 percento dei voti. Röschenz ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2792,7.6,7.6,92.4,"Wahlen BL","Wahlen (BL)","Wahlen BL","I cittadini di Wahlen si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 92,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 0,6 percento dei voti. A Wahlen come nel 2017 gli elettroi hanno detto no - con il 68,2 percento dei voti – alla riforma dell'AVS."
2793,66.4,66.4,33.6,"Zwingen BL","Zwingen (BL)","Zwingen BL","A Zwingen i cittadini hanno accolto, con il 66,4 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 54,7 percento dei voti. Zwingen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2821,64.7,64.7,35.3,"Arisdorf BL","Arisdorf (BL)","Arisdorf BL","Nel comune di Arisdorf l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 64,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 79,5 percento dei voti. Arisdorf ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2822,27.4,27.4,72.6,"Augst BL","Augst (BL)","Augst BL","Nel comune di Augst l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 72,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 12,8 percento dei voti. A Augst come nel 2017 gli elettroi hanno detto no - con il 53,7 percento dei voti – alla riforma dell'AVS."
2823,33.7,33.7,66.3,"Bubendorf BL","Bubendorf (BL)","Bubendorf BL","I cittadini di Bubendorf si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 66,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 68,2 percento dei voti. A Bubendorf come nel 2017 gli elettroi hanno detto no - con il 51,6 percento dei voti – alla riforma dell'AVS."
2824,65.5,65.5,34.5,"Frenkendorf BL","Frenkendorf (BL)","Frenkendorf BL","Nel comune di Frenkendorf l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 65,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 52,1 percento dei voti. Frenkendorf ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2825,43.7,43.7,56.3,"Füllinsdorf BL","Füllinsdorf (BL)","Füllinsdorf BL","Nel comune di Füllinsdorf l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 56,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 71,3 percento dei voti. A Füllinsdorf come nel 2017 gli elettroi hanno detto no - con il 60,8 percento dei voti – alla riforma dell'AVS."
2826,82.2,82.2,17.8,"Giebenach BL","Giebenach (BL)","Giebenach BL","Da Giebenach è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 82,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 94,6 percento dei voti. Giebenach ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2827,39.5,39.5,60.5,"Hersberg BL","Hersberg (BL)","Hersberg BL","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Hersberg: i cittadini hanno bocciato il testo con il 60,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 39,3 percento dei voti. A Hersberg come nel 2017 gli elettroi hanno detto no - con il 66,1 percento dei voti – alla riforma dell'AVS."
2828,63.3,63.3,36.7,"Lausen BL","Lausen (BL)","Lausen BL","Nel comune di Lausen l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 63,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 49,7 percento dei voti. A Lausen come nel 2017 gli elettroi hanno detto no - con il 55,8 percento dei voti – alla riforma dell'AVS."
2829,54.3,54.3,45.7,"Liestal BL","Liestal (BL)","Liestal BL","A Liestal i cittadini hanno accolto, con il 54,3 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 95,3 percento dei voti. A Liestal come nel 2017 gli elettori hanno detto sì - con il 51,5 percento dei voti – alla riforma dell'AVS."
2830,18.5,18.5,81.5,"Lupsingen BL","Lupsingen (BL)","Lupsingen BL","Con il 81,5 percento di ""no"", i cittadini del comune di Lupsingen hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 65,9 percento dei voti. A Lupsingen come nel 2017 gli elettroi hanno detto no - con il 54,4 percento dei voti – alla riforma dell'AVS."
2831,45.6,45.6,54.4,"Pratteln BL","Pratteln (BL)","Pratteln BL","Da Pratteln è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 54,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 65,7 percento dei voti. A Pratteln come nel 2017 gli elettroi hanno detto no - con il 53,7 percento dei voti – alla riforma dell'AVS."
2832,46.3,46.3,53.7,"Ramlinsburg BL","Ramlinsburg (BL)","Ramlinsburg BL","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Ramlinsburg: i cittadini hanno bocciato il testo con il 53,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 59,2 percento dei voti. A Ramlinsburg come nel 2017 gli elettroi hanno detto no - con il 50,8 percento dei voti – alla riforma dell'AVS."
2833,62.1,62.1,37.9,"Seltisberg BL","Seltisberg (BL)","Seltisberg BL","Da Seltisberg è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 62,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 53,8 percento dei voti. Seltisberg ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2834,41.4,41.4,58.6,"Ziefen BL","Ziefen (BL)","Ziefen BL","Da Ziefen è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 58,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 54 percento dei voti. A Ziefen come nel 2017 gli elettroi hanno detto no - con il 50,2 percento dei voti – alla riforma dell'AVS."
2841,56.6,56.6,43.4,"Anwil BL","Anwil (BL)","Anwil BL","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Anwil: i cittadini hanno approvato il testo con il 56,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 16,9 percento dei voti. Anwil ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
2842,47.3,47.3,52.7,"Böckten BL","Böckten (BL)","Böckten BL","I cittadini di Böckten si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 52,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 59,6 percento dei voti. Böckten ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
2843,68.5,68.5,31.5,"Buckten BL","Buckten (BL)","Buckten BL","A Buckten i cittadini hanno accolto, con il 68,5 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 86 percento dei voti. Buckten ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2844,29.6,29.6,70.4,"Buus BL","Buus (BL)","Buus BL","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Buus: i cittadini hanno bocciato il testo con il 70,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 3 percento dei voti. A Buus come nel 2017 gli elettroi hanno detto no - con il 61,4 percento dei voti – alla riforma dell'AVS."
2845,60.2,60.2,39.8,"Diepflingen BL","Diepflingen (BL)","Diepflingen BL","Da Diepflingen è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 60,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 99,1 percento dei voti. Diepflingen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2846,54.7,54.7,45.3,"Gelterkinden BL","Gelterkinden (BL)","Gelterkinden BL","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Gelterkinden: i cittadini hanno approvato il testo con il 54,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 64,4 percento dei voti. A Gelterkinden come nel 2017 gli elettori hanno detto sì - con il 50,8 percento dei voti – alla riforma dell'AVS."
2847,41.9,41.9,58.1,"Häfelfingen BL","Häfelfingen (BL)","Häfelfingen BL","A Häfelfingen i cittadini hanno respinto, con il 58,1 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 69,5 percento dei voti. A Häfelfingen come nel 2017 gli elettroi hanno detto no - con il 56,4 percento dei voti – alla riforma dell'AVS."
2848,63.9,63.9,36.1,"Hemmiken BL","Hemmiken (BL)","Hemmiken BL","Da Hemmiken è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 63,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 41,5 percento dei voti. A Hemmiken come nel 2017 gli elettroi hanno detto no - con il 60,2 percento dei voti – alla riforma dell'AVS."
2849,11.5,11.5,88.5,"Itingen BL","Itingen (BL)","Itingen BL","I cittadini di Itingen si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 88,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 64 percento dei voti. A Itingen come nel 2017 gli elettroi hanno detto no - con il 57,4 percento dei voti – alla riforma dell'AVS."
2850,65.3,65.3,34.7,"Känerkinden BL","Känerkinden (BL)","Känerkinden BL","Con il 65,3 percento di ""sì"", i cittadini del comune di Känerkinden hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 13,9 percento dei voti. A Känerkinden come nel 2017 gli elettroi hanno detto no - con il 53,4 percento dei voti – alla riforma dell'AVS."
2851,44.1,44.1,55.9,"Kilchberg BL","Kilchberg (BL)","Kilchberg BL","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Kilchberg BL: i cittadini hanno bocciato il testo con il 55,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 48,3 percento dei voti. Kilchberg BL ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
2852,17.1,17.1,82.9,"Läufelfingen BL","Läufelfingen (BL)","Läufelfingen BL","Nel comune di Läufelfingen l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 82,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 84,2 percento dei voti. A Läufelfingen come nel 2017 gli elettroi hanno detto no - con il 62,1 percento dei voti – alla riforma dell'AVS."
2853,25.9,25.9,74.1,"Maisprach BL","Maisprach (BL)","Maisprach BL","I cittadini di Maisprach si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 74,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 44,9 percento dei voti. A Maisprach come nel 2017 gli elettroi hanno detto no - con il 53,4 percento dei voti – alla riforma dell'AVS."
2854,52,52,48,"Nusshof BL","Nusshof (BL)","Nusshof BL","Nel comune di Nusshof l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 52 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 37,8 percento dei voti. A Nusshof come nel 2017 gli elettroi hanno detto no - con il 61,5 percento dei voti – alla riforma dell'AVS."
2855,58.6,58.6,41.4,"Oltingen BL","Oltingen (BL)","Oltingen BL","Da Oltingen è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 58,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 64,2 percento dei voti."
2856,38.2,38.2,61.8,"Ormalingen BL","Ormalingen (BL)","Ormalingen BL","I cittadini di Ormalingen si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 61,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 45,7 percento dei voti. A Ormalingen come nel 2017 gli elettroi hanno detto no - con il 58 percento dei voti – alla riforma dell'AVS."
2857,39.6,39.6,60.4,"Rickenbach BL","Rickenbach (BL)","Rickenbach BL","Con il 60,4 percento di ""no"", i cittadini del comune di Rickenbach BL hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 36,7 percento dei voti."
2858,6.5,6.5,93.5,"Rothenfluh BL","Rothenfluh (BL)","Rothenfluh BL","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Rothenfluh: i cittadini hanno bocciato il testo con il 93,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 45,3 percento dei voti. Rothenfluh ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
2859,59.4,59.4,40.6,"Rümlingen BL","Rümlingen (BL)","Rümlingen BL","Nel comune di Rümlingen l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 59,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 8 percento dei voti. A Rümlingen come nel 2017 gli elettroi hanno detto no - con il 57,3 percento dei voti – alla riforma dell'AVS."
2860,70.2,70.2,29.8,"Rünenberg BL","Rünenberg (BL)","Rünenberg BL","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Rünenberg: i cittadini hanno approvato il testo con il 70,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 56,2 percento dei voti. Rünenberg ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2861,6.1,6.1,93.9,"Sissach BL","Sissach (BL)","Sissach BL","Nel comune di Sissach l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 93,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 45,3 percento dei voti. A Sissach come nel 2017 gli elettroi hanno detto no - con il 51 percento dei voti – alla riforma dell'AVS."
2862,60,60,40,"Tecknau BL","Tecknau (BL)","Tecknau BL","Con il 60 percento di ""sì"", i cittadini del comune di Tecknau hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 53,3 percento dei voti. Tecknau ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2863,57.5,57.5,42.5,"Tenniken BL","Tenniken (BL)","Tenniken BL","A Tenniken i cittadini hanno accolto, con il 57,5 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 41 percento dei voti. Tenniken ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
2864,47.2,47.2,52.8,"Thürnen BL","Thürnen (BL)","Thürnen BL","I cittadini di Thürnen si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 52,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 9,2 percento dei voti. A Thürnen come nel 2017 gli elettroi hanno detto no - con il 63,3 percento dei voti – alla riforma dell'AVS."
2865,53.6,53.6,46.4,"Wenslingen BL","Wenslingen (BL)","Wenslingen BL","Da Wenslingen è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 53,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 23,9 percento dei voti. A Wenslingen come nel 2017 gli elettroi hanno detto no - con il 50,3 percento dei voti – alla riforma dell'AVS."
2866,46.7,46.7,53.3,"Wintersingen BL","Wintersingen (BL)","Wintersingen BL","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Wintersingen: i cittadini hanno bocciato il testo con il 53,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 15,2 percento dei voti. A Wintersingen come nel 2017 gli elettroi hanno detto no - con il 60,6 percento dei voti – alla riforma dell'AVS."
2867,63.4,63.4,36.6,"Wittinsburg BL","Wittinsburg (BL)","Wittinsburg BL","Nel comune di Wittinsburg l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 63,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 69,8 percento dei voti. Wittinsburg ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2868,57.7,57.7,42.3,"Zeglingen BL","Zeglingen (BL)","Zeglingen BL","Con il 57,7 percento di ""sì"", i cittadini del comune di Zeglingen hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 20,6 percento dei voti."
