"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_f"
3551,34.1,34.1,65.9,"Brusio GR","Brusio (GR)","Brusio GR","C'est non à 65,9 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Brusio. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 82,2 pour cent de non. Les citoyens de Brusio avaient déjà refusé la précédente révision de l'AVS en 2017."
3561,41.7,41.7,58.3,"Poschiavo GR","Poschiavo (GR)","Poschiavo GR","Les habitants de Poschiavo s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 58,3 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 56 pour cent des suffrages. Les citoyens de Poschiavo avaient déjà refusé la précédente révision de l'AVS en 2017."
3572,6.5,6.5,93.5,"Falera GR","Falera (GR)","Falera GR","Les habitants de Falera s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 93,5 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 78,1 pour cent de non. Les citoyens de Falera avaient déjà refusé la précédente révision de l'AVS en 2017."
3575,46.6,46.6,53.4,"Laax GR","Laax (GR)","Laax GR","Les habitants de Laax rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 53,4 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 69,8 pour cent des suffrages. Les citoyens de Laax avaient déjà refusé la précédente révision de l'AVS en 2017."
3581,59.7,59.7,40.3,"Sagogn GR","Sagogn (GR)","Sagogn GR","A Sagogn, les habitants disent oui à 59,7 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 61,5 pour cent de non. Sagogn avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3582,55.4,55.4,44.6,"Schluein GR","Schluein (GR)","Schluein GR","A Schluein, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 55,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 54,5 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Schluein passe cette fois-ci du côté du oui."
3603,47.3,47.3,52.7,"Vals GR","Vals (GR)","Vals GR","A Vals, les habitants disent non à 52,7 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 66,5 pour cent des suffrages. Vals avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3618,85.1,85.1,14.9,"Lumnezia GR","Lumnezia (GR)","Lumnezia GR","C'est oui à 85,1 pour cent à la réforme de l'AVS à Lumnezia. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 50,7 pour cent des voix. Les électeurs de Lumnezia avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
3619,64.2,64.2,35.8,"Ilanz/Glion GR","Ilanz/Glion (GR)","Ilanz/Glion GR","Les habitants d'Ilanz/Glion acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 64,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 64,1 pour cent de non. Les citoyens d'Ilanz/Glion avaient déjà refusé la précédente révision de l'AVS en 2017."
3633,2.8,2.8,97.2,"Fürstenau GR","Fürstenau (GR)","Fürstenau GR","Les habitants de Fürstenau s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 97,2 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 68,3 pour cent des suffrages. Les citoyens de Fürstenau avaient déjà refusé la précédente révision de l'AVS en 2017."
3637,78.1,78.1,21.9,"Rothenbrunnen GR","Rothenbrunnen (GR)","Rothenbrunnen GR","Les habitants de Rothenbrunnen acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 78,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 73,1 pour cent de non. Les citoyens de Rothenbrunnen avaient déjà refusé la précédente révision de l'AVS en 2017."
3638,10.6,10.6,89.4,"Scharans GR","Scharans (GR)","Scharans GR","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Scharans avec 89,4 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 92,9 pour cent de non. Les citoyens de Scharans avaient déjà refusé la précédente révision de l'AVS en 2017."
3640,55.5,55.5,44.5,"Sils im Domleschg GR","Sils im Domleschg (GR)","Sils im Domleschg GR","Les habitants de Sils im Domleschg acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 55,5 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 50,3 pour cent de non. Les citoyens de Sils im Domleschg avaient déjà refusé la précédente révision de l'AVS en 2017."
3661,45.2,45.2,54.8,"Cazis GR","Cazis (GR)","Cazis GR","C'est non à 54,8 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Cazis. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 65,2 pour cent des suffrages. Les citoyens de Cazis avaient déjà refusé la précédente révision de l'AVS en 2017."
3662,89.6,89.6,10.4,"Flerden GR","Flerden (GR)","Flerden GR","Les habitants de Flerden acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 89,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 65,2 pour cent de non. Les citoyens de Flerden avaient déjà refusé la précédente révision de l'AVS en 2017."
3663,85.2,85.2,14.8,"Masein GR","Masein (GR)","Masein GR","A Masein, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 85,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 88,9 pour cent de non. Masein avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3668,32.3,32.3,67.7,"Thusis GR","Thusis (GR)","Thusis GR","Les habitants de Thusis rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 67,7 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 60,9 pour cent de non. Les citoyens de Thusis avaient déjà refusé la précédente révision de l'AVS en 2017."
3669,65.1,65.1,34.9,"Tschappina GR","Tschappina (GR)","Tschappina GR","A Tschappina, les habitants disent oui à 65,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 53,6 pour cent de non. Tschappina avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3670,63.9,63.9,36.1,"Urmein GR","Urmein (GR)","Urmein GR","Les habitants d'Urmein approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 63,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 61,1 pour cent des voix. Les électeurs d'Urmein avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
3672,68.7,68.7,31.3,"Safiental GR","Safiental (GR)","Safiental GR","C'est oui à 68,7 pour cent à la réforme de l'AVS à Safiental. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 67,5 pour cent de non. Les citoyens de Safiental avaient déjà refusé la précédente révision de l'AVS en 2017."
3673,30.8,30.8,69.2,"Domleschg GR","Domleschg (GR)","Domleschg GR","A Domleschg, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 69,2 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 60,7 pour cent des suffrages. Les citoyens de Domleschg avaient déjà refusé la précédente révision de l'AVS en 2017."
3681,48.2,48.2,51.8,"Avers GR","Avers (GR)","Avers GR","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Avers avec 51,8 pour cent des suffrages. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 70,9 pour cent des suffrages. Les citoyens d'Avers avaient déjà refusé la précédente révision de l'AVS en 2017."
3695,34.8,34.8,65.2,"Sufers GR","Sufers (GR)","Sufers GR","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Sufers avec 65,2 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 53,2 pour cent de non. Les citoyens de Sufers avaient déjà refusé la précédente révision de l'AVS en 2017."
3701,18.6,18.6,81.4,"Andeer GR","Andeer (GR)","Andeer GR","Les habitants d'Andeer s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 81,4 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 73,9 pour cent des suffrages. Les citoyens d'Andeer avaient déjà refusé la précédente révision de l'AVS en 2017."
3711,36.3,36.3,63.7,"Rongellen GR","Rongellen (GR)","Rongellen GR","Les habitants de Rongellen s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 63,7 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 79,9 pour cent de non. Les citoyens de Rongellen avaient déjà refusé la précédente révision de l'AVS en 2017."
3712,62.3,62.3,37.7,"Zillis-Reischen GR","Zillis-Reischen (GR)","Zillis-Reischen GR","Les électeurs de Zillis-Reischen valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 62,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 83 pour cent de non. Les citoyens de Zillis-Reischen avaient déjà refusé la précédente révision de l'AVS en 2017."
3713,69.9,69.9,30.1,"Ferrera GR","Ferrera (GR)","Ferrera GR","A Ferrera, les habitants disent oui à 69,9 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 86,9 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Ferrera passe cette fois-ci du côté du oui."
3714,99.9,99.9,0.1,"Rheinwald GR","Rheinwald (GR)","Rheinwald GR","Nulle part ailleurs en Suisse, la proposition de réformer l'AVS et de relever d'une année le départ à la retraite des femmes est approuvée plus fortement qu'à Rheinwald. Les électeurs de cette commune disent oui à 99,9 pour cent. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 51,9 pour cent de non. Il n'est pas possible de comparer le résultat du vote de cette commune avec celui de la précédente révision en 2017. La commune a certainement fusionné depuis 2017."
3715,2.3,2.3,97.7,"Muntogna da Schons GR","Muntogna da Schons (GR)","Muntogna da Schons GR","A Muntogna da Schons, les habitants disent non à 97,7 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 96,5 pour cent des suffrages. Il n'est pas possible de comparer le résultat du vote de cette commune avec celui de la précédente révision en 2017. La commune a certainement fusionné depuis 2017."
3721,73.9,73.9,26.1,"Bonaduz GR","Bonaduz (GR)","Bonaduz GR","A Bonaduz, les habitants disent oui à 73,9 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 99,8 pour cent de non. Les citoyens de Bonaduz avaient déjà refusé la précédente révision de l'AVS en 2017."
3722,60.9,60.9,39.1,"Domat/Ems GR","Domat/Ems (GR)","Domat/Ems GR","Les habitants de Domat/Ems acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 60,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 71,7 pour cent de non. Les citoyens de Domat/Ems avaient déjà refusé la précédente révision de l'AVS en 2017."
3723,51.1,51.1,48.9,"Rhäzüns GR","Rhäzüns (GR)","Rhäzüns GR","A Rhäzüns, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 51,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 67,5 pour cent de non. Les citoyens de Rhäzüns avaient déjà refusé la précédente révision de l'AVS en 2017."
3731,77.4,77.4,22.6,"Felsberg GR","Felsberg (GR)","Felsberg GR","Les habitants de Felsberg acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 77,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 59,1 pour cent de non. Les citoyens de Felsberg avaient déjà refusé la précédente révision de l'AVS en 2017."
3732,53.2,53.2,46.8,"Flims GR","Flims (GR)","Flims GR","Les habitants de Flims acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 53,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 57,5 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Flims passe cette fois-ci du côté du oui."
3733,49.2,49.2,50.8,"Tamins GR","Tamins (GR)","Tamins GR","A Tamins, les habitants disent non à 50,8 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 52 pour cent de non. Tamins avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3734,49.9,49.9,50.1,"Trin GR","Trin (GR)","Trin GR","C'est non à 50,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Trin. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 73 pour cent de non. Trin avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3746,13.8,13.8,86.2,"Zernez GR","Zernez (GR)","Zernez GR","A Zernez, les habitants disent non à 86,2 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 94 pour cent des suffrages. Les citoyens de Zernez avaient déjà refusé la précédente révision de l'AVS en 2017."
3752,59.9,59.9,40.1,"Samnaun GR","Samnaun (GR)","Samnaun GR","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Samnaun avec 59,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 51,5 pour cent de non. Les citoyens de Samnaun avaient déjà refusé la précédente révision de l'AVS en 2017."
3762,48.5,48.5,51.5,"Scuol GR","Scuol (GR)","Scuol GR","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Scuol avec 51,5 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 55 pour cent de non. Scuol avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3764,33.4,33.4,66.6,"Valsot GR","Valsot (GR)","Valsot GR","Les habitants de Valsot rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 66,6 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 52,3 pour cent de non. Valsot avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3781,73.1,73.1,26.9,"Bever GR","Bever (GR)","Bever GR","Les électeurs de Bever valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 73,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 61,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Bever passe cette fois-ci du côté du oui."
3782,45.7,45.7,54.3,"Celerina/Schlarigna GR","Celerina/Schlarigna (GR)","Celerina/Schlarigna GR","A Celerina/Schlarigna, les habitants disent non à 54,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 54,6 pour cent des suffrages. Les citoyens de Celerina/Schlarigna avaient déjà refusé la précédente révision de l'AVS en 2017."
3783,69.1,69.1,30.9,"Madulain GR","Madulain (GR)","Madulain GR","A Madulain, les habitants disent oui à 69,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 56,1 pour cent des voix. Les électeurs de Madulain avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
3784,55.8,55.8,44.2,"Pontresina GR","Pontresina (GR)","Pontresina GR","A Pontresina, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 55,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 57,5 pour cent de non. Les citoyens de Pontresina avaient déjà refusé la précédente révision de l'AVS en 2017."
3785,31.7,31.7,68.3,"La Punt-Chamues-ch GR","La Punt-Chamues-ch (GR)","La Punt-Chamues-ch GR","Les habitants de La Punt-Chamues-ch rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 68,3 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 97,8 pour cent des suffrages. Les citoyens de La Punt-Chamues-ch avaient déjà refusé la précédente révision de l'AVS en 2017."
3786,45.9,45.9,54.1,"Samedan GR","Samedan (GR)","Samedan GR","A Samedan, les habitants disent non à 54,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 57,5 pour cent des suffrages. Les citoyens de Samedan avaient déjà refusé la précédente révision de l'AVS en 2017."
3787,53.1,53.1,46.9,"St. Moritz GR","St. Moritz (GR)","St. Moritz GR","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à St. Moritz avec 53,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 62 pour cent de non. Les citoyens de St. Moritz avaient déjà refusé la précédente révision de l'AVS en 2017."
3788,44.7,44.7,55.3,"S-chanf GR","S-chanf (GR)","S-chanf GR","A S-chanf, les habitants disent non à 55,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 60,1 pour cent des suffrages. S-chanf avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3789,46.5,46.5,53.5,"Sils im Engadin/Segl GR","Sils im Engadin/Segl (GR)","Sils im Engadin/Segl GR","Les habitants de Sils im Engadin/Segl rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 53,5 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 81,8 pour cent des suffrages. Sils im Engadin/Segl avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3790,68.3,68.3,31.7,"Silvaplana GR","Silvaplana (GR)","Silvaplana GR","A Silvaplana, les habitants disent oui à 68,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 58,8 pour cent de non. Les citoyens de Silvaplana avaient déjà refusé la précédente révision de l'AVS en 2017."
3791,98.5,98.5,1.5,"Zuoz GR","Zuoz (GR)","Zuoz GR","Les habitants de Zuoz approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 98,5 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 70,2 pour cent de non. Les citoyens de Zuoz avaient déjà refusé la précédente révision de l'AVS en 2017."
3792,90.8,90.8,9.2,"Bregaglia GR","Bregaglia (GR)","Bregaglia GR","A Bregaglia, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 90,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 61,5 pour cent de non. Les citoyens de Bregaglia avaient déjà refusé la précédente révision de l'AVS en 2017."
3804,26.9,26.9,73.1,"Buseno GR","Buseno (GR)","Buseno GR","Les habitants de Buseno s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 73,1 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 94,3 pour cent de non. Buseno avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3805,25.5,25.5,74.5,"Castaneda GR","Castaneda (GR)","Castaneda GR","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Castaneda avec 74,5 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 62,8 pour cent des suffrages. Les citoyens de Castaneda avaient déjà refusé la précédente révision de l'AVS en 2017."
3808,8.9,8.9,91.1,"Rossa GR","Rossa (GR)","Rossa GR","A Rossa, les habitants disent non à 91,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 75,3 pour cent de non. Les citoyens de Rossa avaient déjà refusé la précédente révision de l'AVS en 2017."
3810,8.2,8.2,91.8,"Santa Maria in Calanca GR","Santa Maria in Calanca (GR)","Santa Maria in Calanca GR","C'est non à 91,8 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Santa Maria in Calanca. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 88,6 pour cent de non. Santa Maria in Calanca avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3821,61,61,39,"Lostallo GR","Lostallo (GR)","Lostallo GR","C'est oui à 61 pour cent à la réforme de l'AVS à Lostallo. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 50,5 pour cent des voix. Les électeurs de Lostallo avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
3822,84.7,84.7,15.3,"Mesocco GR","Mesocco (GR)","Mesocco GR","C'est oui à 84,7 pour cent à la réforme de l'AVS à Mesocco. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 82,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Mesocco passe cette fois-ci du côté du oui."
3823,77.8,77.8,22.2,"Soazza GR","Soazza (GR)","Soazza GR","A Soazza, les habitants disent oui à 77,8 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 66,1 pour cent de non. Soazza avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3831,22.8,22.8,77.2,"Cama GR","Cama (GR)","Cama GR","C'est non à 77,2 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Cama. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 74,2 pour cent des suffrages. Cama avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3832,66.2,66.2,33.8,"Grono GR","Grono (GR)","Grono GR","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Grono avec 66,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 54,4 pour cent de non. Grono avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3834,45.9,45.9,54.1,"Roveredo GR","Roveredo (GR)","Roveredo GR","Les habitants de Roveredo (GR) s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 54,1 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 81,4 pour cent de non. Les citoyens de Roveredo (GR) avaient déjà refusé la précédente révision de l'AVS en 2017."
3835,8.5,8.5,91.5,"San Vittore GR","San Vittore (GR)","San Vittore GR","C'est non à 91,5 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à San Vittore. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 50,2 pour cent des suffrages. Les citoyens de San Vittore avaient déjà refusé la précédente révision de l'AVS en 2017."
3837,48.6,48.6,51.4,"Calanca GR","Calanca (GR)","Calanca GR","Les habitants de Calanca s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 51,4 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 51,7 pour cent de non. Calanca avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3847,5.4,5.4,94.6,"Val Müstair GR","Val Müstair (GR)","Val Müstair GR","Les habitants de Val Müstair rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 94,6 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 84,9 pour cent des suffrages. Val Müstair avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
3851,66,66,34,"Davos GR","Davos (GR)","Davos GR","Les habitants de Davos approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 66 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 68,9 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Davos passe cette fois-ci du côté du oui."
3861,65.6,65.6,34.4,"Fideris GR","Fideris (GR)","Fideris GR","Les habitants de Fideris approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 65,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 84,8 pour cent de non. Les citoyens de Fideris avaient déjà refusé la précédente révision de l'AVS en 2017."
3862,31.9,31.9,68.1,"Furna GR","Furna (GR)","Furna GR","A Furna, les habitants disent non à 68,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 87,4 pour cent des suffrages. Les citoyens de Furna avaient déjà refusé la précédente révision de l'AVS en 2017."
