"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d"
4077,87.8,87.8,12.2,"Tägerig AG","Tägerig (AG)","Tägerig AG","Die Gemeinde Tägerig hat die Erhöhung der Mehrwertsteuer mit 87,8 Prozent angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 99,1 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Tägerig damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Tägerig eine Rentenreform mit 58,4 Nein-Stimmen abgelehnt."
4078,64.5,64.5,35.5,"Uezwil AG","Uezwil (AG)","Uezwil AG","Uezwil hat der Erhöhung der Mehrwertsteuer mit 64,5 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 86,1 zugestimmt hat, ist die AHV-Reform in Uezwil damit angenommen worden. Damit hat in Uezwil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 65,7 Prozent ein Nein in die Urne gelegt."
4079,43.5,43.5,56.5,"Unterlunkhofen AG","Unterlunkhofen (AG)","Unterlunkhofen AG","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Unterlunkhofen: Mit 56,5 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde das Frauenrentenalter 65 mit 55 Ja-Stimmen angenommen hat, ist die AHV-Reform in Unterlunkhofen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Unterlunkhofen eine Rentenreform mit 58,3 Nein-Stimmen abgelehnt."
4080,64.2,64.2,35.8,"Villmergen AG","Villmergen (AG)","Villmergen AG","64,2 Prozent der Abstimmenden in der Gemeinde Villmergen haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Weil die Gemeinde das Frauenrentenalter 65 aber mit 76,6 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Villmergen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Villmergen eine Rentenreform mit 68,4 Nein-Stimmen abgelehnt."
4081,45.2,45.2,54.8,"Widen AG","Widen (AG)","Widen AG","54,8 Prozent der Stimmbürgerinnen und Stimmbürger von Widen sagen Nein zur Erhöhung der Mehrwertsteuer. Obwohl die Gemeinde das Frauenrentenalter 65 mit 59,8 Ja-Stimmen angenommen hat, ist die AHV-Reform in Widen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Widen eine Rentenreform mit 59,2 Nein-Stimmen abgelehnt."
4082,89.9,89.9,10.1,"Wohlen AG","Wohlen (AG)","Wohlen AG","Die Gemeinde Wohlen AG hat die Erhöhung der Mehrwertsteuer mit 89,9 Prozent angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 50 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Wohlen AG damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wohlen AG eine Rentenreform mit 57,7 Nein-Stimmen abgelehnt."
4083,63.2,63.2,36.8,"Zufikon AG","Zufikon (AG)","Zufikon AG","In Zufikon hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 63,2 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 77,8 zugestimmt hat, ist die AHV-Reform in Zufikon damit angenommen worden. Damit hat in Zufikon im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 59,7 Prozent ein Nein in die Urne gelegt."
4084,49.4,49.4,50.6,"Islisberg AG","Islisberg (AG)","Islisberg AG","50,6 Prozent der Stimmbürgerinnen und Stimmbürger von Islisberg sagen Nein zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch das Frauenrentenalter 65 mit 54,2 abgelehnt hat, ist die AHV-Reform in Islisberg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Islisberg eine Rentenreform mit 63,7 Nein-Stimmen abgelehnt."
4091,42.9,42.9,57.1,"Auenstein AG","Auenstein (AG)","Auenstein AG","Nein zur Erhöhung der Mehrwertsteuer in Auenstein. Die Gemeinde hat das Volksbegehren mit 57,1 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 56,6 Ja-Stimmen angenommen hat, ist die AHV-Reform in Auenstein damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Auenstein eine Rentenreform mit 55,4 Nein-Stimmen abgelehnt."
4092,59.2,59.2,40.8,"Birr AG","Birr (AG)","Birr AG","Ja zur Erhöhung der Mehrwertsteuer in Birr mit 59,2 Prozent. Weil die Gemeinde das Frauenrentenalter 65 aber mit 69,7 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Birr damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Birr eine Rentenreform mit 63,8 Nein-Stimmen abgelehnt."
4093,53,53,47,"Birrhard AG","Birrhard (AG)","Birrhard AG","In Birrhard hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 53 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 51,7 zugestimmt hat, ist die AHV-Reform in Birrhard damit angenommen worden. Damit hat in Birrhard im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 67,6 Prozent ein Nein in die Urne gelegt."
4095,67.9,67.9,32.1,"Brugg AG","Brugg (AG)","Brugg AG","Brugg hat der Erhöhung der Mehrwertsteuer mit 67,9 Prozent zugestimmt. Weil die Gemeinde das Frauenrentenalter 65 aber mit 56,4 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Brugg damit gescheitert. Damit hat in Brugg im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,2 Prozent ein Ja in die Urne gelegt."
4099,51,51,49,"Habsburg AG","Habsburg (AG)","Habsburg AG","In Habsburg hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 51 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 87,1 zugestimmt hat, ist die AHV-Reform in Habsburg damit angenommen worden. Damit hat in Habsburg im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 66 Prozent ein Nein in die Urne gelegt."
4100,33,33,67,"Hausen AG","Hausen (AG)","Hausen AG","Nein zur Erhöhung der Mehrwertsteuer in Hausen AG. Die Gemeinde hat das Volksbegehren mit 67 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 62,7 Ja-Stimmen angenommen hat, ist die AHV-Reform in Hausen AG damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Hausen AG eine Rentenreform mit 60,3 Nein-Stimmen abgelehnt."
4104,59.7,59.7,40.3,"Lupfig AG","Lupfig (AG)","Lupfig AG","59,7 Prozent der Abstimmenden in der Gemeinde Lupfig haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch dem Frauenrentealter 65 mit 50,7 zugestimmt hat, ist die AHV-Reform in Lupfig damit angenommen worden. Damit hat in Lupfig im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 63,5 Prozent ein Nein in die Urne gelegt."
4105,45.3,45.3,54.7,"Mandach AG","Mandach (AG)","Mandach AG","In Mandach hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 54,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch das Frauenrentenalter 65 mit 99,9 abgelehnt hat, ist die AHV-Reform in Mandach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Mandach eine Rentenreform mit 70,2 Nein-Stimmen abgelehnt."
4106,31.9,31.9,68.1,"Mönthal AG","Mönthal (AG)","Mönthal AG","68,1 Prozent Nein zur Erhöhung der Mehrwertsteuer in Mönthal. Da die Gemeinde auch das Frauenrentenalter 65 mit 87 abgelehnt hat, ist die AHV-Reform in Mönthal damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Mönthal eine Rentenreform mit 64,6 Nein-Stimmen abgelehnt."
4107,46.1,46.1,53.9,"Mülligen AG","Mülligen (AG)","Mülligen AG","53,9 Prozent der Stimmbürgerinnen und Stimmbürger von Mülligen sagen Nein zur Erhöhung der Mehrwertsteuer. Obwohl die Gemeinde das Frauenrentenalter 65 mit 69,7 Ja-Stimmen angenommen hat, ist die AHV-Reform in Mülligen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Mülligen eine Rentenreform mit 53,4 Nein-Stimmen abgelehnt."
4110,30.2,30.2,69.8,"Remigen AG","Remigen (AG)","Remigen AG","Remigen hat die Erhöhung der Mehrwertsteuer mit 69,8 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 57,6 Ja-Stimmen angenommen hat, ist die AHV-Reform in Remigen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Remigen eine Rentenreform mit 64,4 Nein-Stimmen abgelehnt."
4111,34.1,34.1,65.9,"Riniken AG","Riniken (AG)","Riniken AG","In Riniken hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 65,9 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 92,3 abgelehnt hat, ist die AHV-Reform in Riniken damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Riniken eine Rentenreform mit 58,7 Nein-Stimmen abgelehnt."
4112,52.7,52.7,47.3,"Rüfenach AG","Rüfenach (AG)","Rüfenach AG","In Rüfenach hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 52,7 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 65,5 zugestimmt hat, ist die AHV-Reform in Rüfenach damit angenommen worden. Damit hat in Rüfenach im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 56,1 Prozent ein Nein in die Urne gelegt."
4117,73.7,73.7,26.3,"Thalheim AG","Thalheim (AG)","Thalheim AG","73,7 Prozent der Abstimmenden in der Gemeinde Thalheim AG haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch dem Frauenrentealter 65 mit 59,1 zugestimmt hat, ist die AHV-Reform in Thalheim AG damit angenommen worden. Damit hat in Thalheim AG im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 63,4 Prozent ein Nein in die Urne gelegt."
4120,47.2,47.2,52.8,"Veltheim AG","Veltheim (AG)","Veltheim AG","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Veltheim AG: Mit 52,8 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde das Frauenrentenalter 65 mit 51,8 Ja-Stimmen angenommen hat, ist die AHV-Reform in Veltheim AG damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Veltheim AG eine Rentenreform mit 64 Nein-Stimmen abgelehnt."
4121,42.4,42.4,57.6,"Villigen AG","Villigen (AG)","Villigen AG","In Villigen hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 57,6 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 85 Ja-Stimmen angenommen hat, ist die AHV-Reform in Villigen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Villigen eine Rentenreform mit 62,1 Nein-Stimmen abgelehnt."
4122,7.6,7.6,92.4,"Villnachern AG","Villnachern (AG)","Villnachern AG","Nein zur Erhöhung der Mehrwertsteuer in Villnachern. Die Gemeinde hat das Volksbegehren mit 92,4 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 91,6 Ja-Stimmen angenommen hat, ist die AHV-Reform in Villnachern damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Villnachern eine Rentenreform mit 51,9 Nein-Stimmen abgelehnt."
4123,26,26,74,"Windisch AG","Windisch (AG)","Windisch AG","In Windisch hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 74 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde das Frauenrentenalter 65 mit 74,3 Ja-Stimmen angenommen hat, ist die AHV-Reform in Windisch damit gescheitert. Damit hat in Windisch im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,3 Prozent ein Ja in die Urne gelegt."
4124,31.1,31.1,68.9,"Bözberg AG","Bözberg (AG)","Bözberg AG","68,9 Prozent Nein zur Erhöhung der Mehrwertsteuer in Bözberg. Obwohl die Gemeinde das Frauenrentenalter 65 mit 56,9 Ja-Stimmen angenommen hat, ist die AHV-Reform in Bözberg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bözberg eine Rentenreform mit 64,8 Nein-Stimmen abgelehnt."
4125,44.4,44.4,55.6,"Schinznach AG","Schinznach (AG)","Schinznach AG","Nein zur Erhöhung der Mehrwertsteuer in Schinznach. Die Gemeinde hat das Volksbegehren mit 55,6 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 91,3 abgelehnt hat, ist die AHV-Reform in Schinznach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Schinznach eine Rentenreform mit 60,8 Nein-Stimmen abgelehnt."
4131,67.9,67.9,32.1,"Beinwil am See AG","Beinwil am See (AG)","Beinwil am See AG","Beinwil am See hat der Erhöhung der Mehrwertsteuer mit 67,9 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 74,1 zugestimmt hat, ist die AHV-Reform in Beinwil am See damit angenommen worden. Damit hat in Beinwil am See im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 63,3 Prozent ein Nein in die Urne gelegt."
4132,59.3,59.3,40.7,"Birrwil AG","Birrwil (AG)","Birrwil AG","Ja zur Erhöhung der Mehrwertsteuer in Birrwil mit 59,3 Prozent. Da die Gemeinde auch dem Frauenrentealter 65 mit 53,7 zugestimmt hat, ist die AHV-Reform in Birrwil damit angenommen worden. Damit hat in Birrwil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 63,3 Prozent ein Nein in die Urne gelegt."
4133,62.9,62.9,37.1,"Burg AG","Burg (AG)","Burg AG","62,9 Prozent der Abstimmenden in der Gemeinde Burg AG haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Weil die Gemeinde das Frauenrentenalter 65 aber mit 91,2 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Burg AG damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Burg AG eine Rentenreform mit 70,1 Nein-Stimmen abgelehnt."
4134,44.1,44.1,55.9,"Dürrenäsch AG","Dürrenäsch (AG)","Dürrenäsch AG","55,9 Prozent Nein zur Erhöhung der Mehrwertsteuer in Dürrenäsch. Obwohl die Gemeinde das Frauenrentenalter 65 mit 58,1 Ja-Stimmen angenommen hat, ist die AHV-Reform in Dürrenäsch damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dürrenäsch eine Rentenreform mit 69 Nein-Stimmen abgelehnt."
4135,41.9,41.9,58.1,"Gontenschwil AG","Gontenschwil (AG)","Gontenschwil AG","Gontenschwil hat die Erhöhung der Mehrwertsteuer mit 58,1 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 82,5 abgelehnt hat, ist die AHV-Reform in Gontenschwil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Gontenschwil eine Rentenreform mit 70,4 Nein-Stimmen abgelehnt."
4136,52.8,52.8,47.2,"Holziken AG","Holziken (AG)","Holziken AG","Die Gemeinde Holziken hat die Erhöhung der Mehrwertsteuer mit 52,8 Prozent angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 58,9 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Holziken damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Holziken eine Rentenreform mit 70,5 Nein-Stimmen abgelehnt."
4137,39.8,39.8,60.2,"Leimbach AG","Leimbach (AG)","Leimbach AG","60,2 Prozent der Stimmbürgerinnen und Stimmbürger von Leimbach AG sagen Nein zur Erhöhung der Mehrwertsteuer. Obwohl die Gemeinde das Frauenrentenalter 65 mit 72 Ja-Stimmen angenommen hat, ist die AHV-Reform in Leimbach AG damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Leimbach AG eine Rentenreform mit 71 Nein-Stimmen abgelehnt."
4138,60.5,60.5,39.5,"Leutwil AG","Leutwil (AG)","Leutwil AG","60,5 Prozent der Abstimmenden in der Gemeinde Leutwil haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Weil die Gemeinde das Frauenrentenalter 65 aber mit 88 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Leutwil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Leutwil eine Rentenreform mit 75,5 Nein-Stimmen abgelehnt."
4139,54.8,54.8,45.2,"Menziken AG","Menziken (AG)","Menziken AG","Menziken hat der Erhöhung der Mehrwertsteuer mit 54,8 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 58,6 zugestimmt hat, ist die AHV-Reform in Menziken damit angenommen worden. Damit hat in Menziken im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 68 Prozent ein Nein in die Urne gelegt."
4140,21.7,21.7,78.3,"Oberkulm AG","Oberkulm (AG)","Oberkulm AG","In Oberkulm hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 78,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde das Frauenrentenalter 65 mit 52,5 Ja-Stimmen angenommen hat, ist die AHV-Reform in Oberkulm damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberkulm eine Rentenreform mit 69 Nein-Stimmen abgelehnt."
4141,53.8,53.8,46.2,"Reinach AG","Reinach (AG)","Reinach AG","In Reinach AG hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 53,8 Prozent zugestimmt. Weil die Gemeinde das Frauenrentenalter 65 aber mit 53,7 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Reinach AG damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Reinach AG eine Rentenreform mit 69,6 Nein-Stimmen abgelehnt."
4142,62.8,62.8,37.2,"Schlossrued AG","Schlossrued (AG)","Schlossrued AG","Schlossrued hat der Erhöhung der Mehrwertsteuer mit 62,8 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 73,4 zugestimmt hat, ist die AHV-Reform in Schlossrued damit angenommen worden. Damit hat in Schlossrued im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 71,8 Prozent ein Nein in die Urne gelegt."
4143,73.1,73.1,26.9,"Schmiedrued AG","Schmiedrued (AG)","Schmiedrued AG","73,1 Prozent der Stimmbürgerinnen und Stimmbürger von Schmiedrued haben die Erhöhung der Mehrwertsteuer angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 91,3 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Schmiedrued damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Schmiedrued eine Rentenreform mit 73,1 Nein-Stimmen abgelehnt."
4144,6.6,6.6,93.4,"Schöftland AG","Schöftland (AG)","Schöftland AG","93,4 Prozent Nein zur Erhöhung der Mehrwertsteuer in Schöftland. Da die Gemeinde auch das Frauenrentenalter 65 mit 51,7 abgelehnt hat, ist die AHV-Reform in Schöftland damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Schöftland eine Rentenreform mit 64,4 Nein-Stimmen abgelehnt."
4145,55.4,55.4,44.6,"Teufenthal AG","Teufenthal (AG)","Teufenthal AG","Teufenthal AG hat der Erhöhung der Mehrwertsteuer mit 55,4 Prozent zugestimmt. Weil die Gemeinde das Frauenrentenalter 65 aber mit 51 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Teufenthal AG damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Teufenthal AG eine Rentenreform mit 69,4 Nein-Stimmen abgelehnt."
4146,63.6,63.6,36.4,"Unterkulm AG","Unterkulm (AG)","Unterkulm AG","In Unterkulm hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 63,6 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 71,7 zugestimmt hat, ist die AHV-Reform in Unterkulm damit angenommen worden. Damit hat in Unterkulm im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 63,8 Prozent ein Nein in die Urne gelegt."
4147,8.8,8.8,91.2,"Zetzwil AG","Zetzwil (AG)","Zetzwil AG","In Zetzwil hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 91,2 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch das Frauenrentenalter 65 mit 69,8 abgelehnt hat, ist die AHV-Reform in Zetzwil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Zetzwil eine Rentenreform mit 66,7 Nein-Stimmen abgelehnt."
4161,17.2,17.2,82.8,"Eiken AG","Eiken (AG)","Eiken AG","In Eiken hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 82,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch das Frauenrentenalter 65 mit 51,2 abgelehnt hat, ist die AHV-Reform in Eiken damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Eiken eine Rentenreform mit 63,4 Nein-Stimmen abgelehnt."
4163,53.5,53.5,46.5,"Frick AG","Frick (AG)","Frick AG","53,5 Prozent der Stimmbürgerinnen und Stimmbürger von Frick haben die Erhöhung der Mehrwertsteuer angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 89 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Frick damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Frick eine Rentenreform mit 55,1 Nein-Stimmen abgelehnt."
4164,37.7,37.7,62.3,"Gansingen AG","Gansingen (AG)","Gansingen AG","62,3 Prozent der Stimmbürgerinnen und Stimmbürger von Gansingen sagen Nein zur Erhöhung der Mehrwertsteuer. Obwohl die Gemeinde das Frauenrentenalter 65 mit 76,6 Ja-Stimmen angenommen hat, ist die AHV-Reform in Gansingen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Gansingen eine Rentenreform mit 56,9 Nein-Stimmen abgelehnt."
4165,62.1,62.1,37.9,"Gipf-Oberfrick AG","Gipf-Oberfrick (AG)","Gipf-Oberfrick AG","Ja zur Erhöhung der Mehrwertsteuer in Gipf-Oberfrick mit 62,1 Prozent. Da die Gemeinde auch dem Frauenrentealter 65 mit 57,3 zugestimmt hat, ist die AHV-Reform in Gipf-Oberfrick damit angenommen worden. Damit hat in Gipf-Oberfrick im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 51,8 Prozent ein Nein in die Urne gelegt."
4166,4.9,4.9,95.1,"Herznach AG","Herznach (AG)","Herznach AG","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Herznach: Mit 95,1 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch das Frauenrentenalter 65 mit 53,3 abgelehnt hat, ist die AHV-Reform in Herznach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Herznach eine Rentenreform mit 63 Nein-Stimmen abgelehnt."
4169,30.2,30.2,69.8,"Kaisten AG","Kaisten (AG)","Kaisten AG","Kaisten hat die Erhöhung der Mehrwertsteuer mit 69,8 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 87,2 abgelehnt hat, ist die AHV-Reform in Kaisten damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Kaisten eine Rentenreform mit 51,6 Nein-Stimmen abgelehnt."
4170,96.9,96.9,3.1,"Laufenburg AG","Laufenburg (AG)","Laufenburg AG","Die Gemeinde Laufenburg hat die Erhöhung der Mehrwertsteuer mit 96,9 Prozent angenommen. Da die Gemeinde auch dem Frauenrentealter 65 mit 91,7 zugestimmt hat, ist die AHV-Reform in Laufenburg damit angenommen worden. Damit hat in Laufenburg im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,4 Prozent ein Nein in die Urne gelegt."
4172,68.6,68.6,31.4,"Münchwilen AG","Münchwilen (AG)","Münchwilen AG","Münchwilen AG hat der Erhöhung der Mehrwertsteuer mit 68,6 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 57,9 zugestimmt hat, ist die AHV-Reform in Münchwilen AG damit angenommen worden. Damit hat in Münchwilen AG im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 61,8 Prozent ein Nein in die Urne gelegt."
4173,34,34,66,"Oberhof AG","Oberhof (AG)","Oberhof AG","Oberhof hat die Erhöhung der Mehrwertsteuer mit 66 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 74,4 Ja-Stimmen angenommen hat, ist die AHV-Reform in Oberhof damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberhof eine Rentenreform mit 59,1 Nein-Stimmen abgelehnt."
4175,46.8,46.8,53.2,"Oeschgen AG","Oeschgen (AG)","Oeschgen AG","Nein zur Erhöhung der Mehrwertsteuer in Oeschgen. Die Gemeinde hat das Volksbegehren mit 53,2 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 96,5 Ja-Stimmen angenommen hat, ist die AHV-Reform in Oeschgen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oeschgen eine Rentenreform mit 62,5 Nein-Stimmen abgelehnt."
4176,40,40,60,"Schwaderloch AG","Schwaderloch (AG)","Schwaderloch AG","In Schwaderloch hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 60 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde das Frauenrentenalter 65 mit 90,1 Ja-Stimmen angenommen hat, ist die AHV-Reform in Schwaderloch damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Schwaderloch eine Rentenreform mit 71,7 Nein-Stimmen abgelehnt."
